"
                            تولید و عرضه انواع پاشنه -زیره کفش زنانه - انواع صندل و لِژ
                            
",امیر  رحمانی,شعبه 1:  33997632  ،  شعبه 2: 77610937,,منطقه 12,"
                           شعبه 1 : خ سعدی شمالی - کوچه بیمه - مجتمع تجاری پارس - پ 13 ، شعبه 2 :سعدی شمالی - خ کاشف (مرادی نور) - کوچه منصوری - پلاک 3 
                        ",,
"
                            آرشیو کامل نرم افزار
                            
",حامد رحیمیان,88574206,,منطقه 2,"
                           شهرک غرب، روبه روی میلادنور پاساژ شهرک غرب طبقه همکف واحد14 
                        ",,
"
                            پخش فالوده و بستنی مغزدار
                            
",سیدمهدی عباسی,55970249-55970140,,حومه تهران,"
                           شهرری، سه راه ورامین، خیابان ورامین  پلاک: 122 
                        ",,
"
                            انواع وسایل گازسوز 
                            
",نظری,55784660,,منطقه 10,"
                           کمیل بین جیحون و کارون   پلاک: 524 
                        ",,
"
                            مرکز مجاز خرید وفروش اسلحه , مهمات اولین و تنها واردکننده مهمات شکاری گلوله زنی  تفنگ بادی
                            
",احمدعلی گل مشکی,66377740-2- 66872720,,منطقه 12,"
                           میدان امام خمینی -بین میدان حر و نواب - چ کمالی -روبروی اداره اسلحه و مهمات -ساختمان گل مشکی   پلاک: 506 
                        ",,
"
                            عرضه لوازم مخابرات و شبکه -کابل - لامپ - MDF-ترمینال
                            
",احسان محبی,33954333-33924662,,منطقه 12,"
                           لاله زار جنوبی پاساژ ابوالفضل طبقه همکف  پلاک: 29 
                        ",,
"
                            سازنده انواع درب و پنجره UPVC، آلومینیوم، ترک آکرول، ویستا بست، وین تک، تعویض پنجره قدیمی بدون تخریب
                            
",فراهم پاکپور,22079163,9122711623,منطقه 2,"
                           فرحزاد، نبش چهارراه یادگار امام، جنب نانوایی تافتون  پلاک: 238 
                        ",,
"
                            گونی فروشی 
                            
",حسن  زیبایی,33990602,,منطقه 12,"
                           15خرداد  پاساژ جواهری  طبقه اول  پلاک: 42 
                        ",,
"
                            لوازم آبیاری قطره ای
                            
",سعید مشهدی,66154238,9124289255,منطقه 18,"
                           شادآباد، بازار آهن، مجتمع پارسیان، بلوک دی  پلاک: 149 
                        ",,
"
                            میوه و تره بار
                            
",مهران مزینانی,33152197,9358197196,منطقه 15,"
                           20 متری افسریه، 15 متری دوم، نبش خ 40 
                        ",,
"
                            درب و پنجره دوجداره و تک جداره ، توری پلیسه
                            
",محمد محمدی,66081850,9126225677,منطقه 10,"
                           ابتدای خیابان هاشمی، نرسیده به استاد معین  پلاک: 1259 
                        ",,
